Year,City,male,female
1896,Athens,241,0
1900,Paris,975,22
1904,St. Louis,645,6
1908,London,1971,37
1912,Stockholm,2359,48
1920,Antwerp,2561,65
1924,Paris,2954,135
1928,Amsterdam,2606,277
1932,Los Angeles,1206,126
1936,Berlin,3632,331
1948,London,3714,390
1952,Helsinki,4436,519
1956,Melbourne,2938,376
1960,Rome,4727,611
1964,Tokyo,4473,678
1968,Mexico 1968,4435,781
1972,Munich,6075,1059
1976,Montreal,4824,1260
1980,Moscow,4064,1115
1984,Los Angeles,5263,1566
1988,Seoul,6197,2194
1992,Barcelona,6652,2704
1996,Atlanta,6806,3512
2000,Sydney,6582,4069
2004,Athens,6296,4329
2008,Beijing,6305,4637
2012,London,5892,4676
2016,Rio,6179,5059
2020,Tokyo,5651,5386